Time,x1,x2,y1,y2
113,0.23904605644229956,0.14349232395939368,-1.616275444081566,-1.365528396308619
114,0.19134916309919814,0.15144180617858602,-1.6530548222712016,-1.3738667091227674
115,0.1416650614402872,0.15972248978355255,-1.6759318781089108,-1.3845220756608794
116,0.09279136865154838,0.16786810524356954,-1.6857305994091845,-1.39735716462062
117,0.04708705669566873,0.1754854905650862,-1.683355573175768,-1.4122212115014534
118,0.006694686497533464,0.18221755226083083,-1.669763510298416,-1.428954764488514
119,-0.026288119591484967,0.1877146866057796,-1.6460058896041088,-1.4473825771107411
120,-0.049667033142098284,0.1916111721952654,-1.6133345682779976,-1.4672960065040652
121,-0.06103223731256528,0.19350537288923336,-1.5733917039752074,-1.4884213597261255
122,-0.05768360491494712,0.19294726748995733,-1.5285370321111549,-1.51036534754125
123,-0.03669196243813232,0.18944866041253816,-1.4824031754006923,-1.5325225328306509
124,0.00462618651663939,0.18256230225744452,-1.4407742653496536,-1.5539288936772548
125,0.06714212692991395,0.17214297886133714,-1.412625632778353,-1.5730885416118852
126,0.14629017504692304,0.1589516375162316,-1.4098942833345922,-1.588011975694408
127,0.22792213716149926,0.1453463105051074,-1.4421058980499364,-1.5971115824204922
128,0.29252773462564474,0.13457871093405893,-1.506278237978055,-1.6008844016142352
129,0.32886443004148724,0.128522595034967,-1.587382701388108,-1.6018352002293095
130,0.3375869109861866,0.12706884821170222,-1.6704792320198272,-1.6024539876409671
131,0.32459336529452754,0.12923443915904315,-1.7465586069766026,-1.6042423009977633
132,0.29614517700057824,0.13397580387192323,-1.8113794861538925,-1.6079070303167078
133,0.25741342370926523,0.14043109608335969,-1.863297668697368,-1.6137222090733614
134,0.21244158384515777,0.14792640272298582,-1.9019029645330403,-1.6217562022800154
135,0.1644365584062304,0.15592724029145238,-1.9273371415201237,-1.631985381960148
136,0.11606307080092196,0.1639894882209465,-1.9399822856253683,-1.6443460671193382
137,0.0696823672367163,0.17171960547711806,-1.9403348535288991,-1.6587555149776134
138,0.027544322477821712,0.1787426129328188,-1.9289794893019692,-1.6751162848564887
139,-0.00804694948070397,0.18467449158909738,-1.9066320383465665,-1.693309069189036
140,-0.03457803910841873,0.18909633985779226,-1.8742558900900825,-1.7131733030707843
141,-0.049179050997099884,0.19152984183781324,-1.8332881105773642,-1.7344694754943992
142,-0.048518122106973254,0.1914196870228567,-1.786054820311318,-1.7568098997096238
143,-0.028879068672882216,0.18814651145242606,-1.736508373367422,-1.779535850037597
144,0.01314305776014975,0.1811428237176911,-1.6913995929451993,-1.8015221892790583
145,0.07831705322863022,0.17028049114597565,-1.66146669037991,-1.820979215545846
146,0.15994778809164237,0.1566753686767787,-1.6600783498304386,-1.835678814812785
147,0.240903803674212,0.14318269942092293,-1.694895948788632,-1.8443440908319824
148,0.30268712222509253,0.13288547966847633,-1.7590349923952524,-1.8481224594126384
149,0.3375691321243549,0.12707181135533904,-1.8372879715983819,-1.8495485053952547
150,0.3473693887356414,0.125438435254415,-1.9170018515044212,-1.8507310679275288
151,0.33721797116347285,0.1271303381821184,-1.9907579636404937,-1.8529065917542153
152,0.3122753716388581,0.13128743810045174,-2.0548086747730467,-1.8566996824138742
153,0.27686934886825654,0.13718844189209436,-2.1074061459278632,-1.8624016464020372
154,0.23450775632662138,0.14424870731156333,-2.147803339123718,-1.8701369900488358
155,0.1880953484064802,0.15198410862705442,-2.175738899616812,-1.879949272478211
156,0.1401584907119401,0.15997358490479643,-2.191187588069088,-1.891842700246503
157,0.09304139867372621,0.1678264335732308,-2.194252148742539,-1.9058001493100565
158,0.04908128772131194,0.17515311872767353,-2.185139975025304,-1.9217870541042017
159,0.01077891010676806,0.18153684832635703,-2.1642092960287598,-1.9397437097770776
160,-0.01902120132878934,0.1865035335627064,-2.1321021752091727,-1.9595631057527025
161,-0.03694091747972799,0.1894901529194462,-2.09002140159171,-1.9810447771936661
162,-0.03892149108485775,0.18982024852010773,-2.040269445978864,-2.0038049789664445
163,-0.020342281277746725,0.18672371355407028,-1.987239988213097,-2.027111431097723
164,0.022904317214905615,0.17951594714285152,-1.938960341636209,-2.049626248031319
165,0.09095752842890381,0.1681737452804976,-1.9082097015747579,-2.0692195638807207
166,0.17415873547882055,0.15430687744696991,-1.909045389142387,-2.083548491795027
167,0.253266654758561,0.1411222242414052,-1.945862162953926,-2.0918805720055285
168,0.3123031234521761,0.13128281279823462,-2.008813103825108,-2.0958569577086417
169,0.346387882733962,0.1256020195879322,-2.083762106904567,-2.097833666378214
170,0.3576968227185377,0.12371719625827399,-2.160162703357057,-2.099568442819089
171,0.3504954434800526,0.12491742613065157,-2.2317696384014525,-2.1021021628275123
172,0.32898932942277614,0.1285017784714308,-2.295153880142207,-2.1060063317190725
173,0.29678862985934046,0.1338685617288588,-2.3484484448915834,-2.1115921134415436
174,0.25692815634938093,0.14051197397662613,-2.3906070828178922,-2.1190338829667716
