Time,ke1,ke2,Ue1,Et
169,3.3858787144577065e-12,2.301268783584545e-13,6.514530018709538e-10,6.5506900746377e-10
170,6.245144863296522e-12,4.439405119179134e-14,5.935617452725237e-10,5.99851284187012e-10
171,8.081861576827254e-12,4.946285731870299e-15,6.069646019761633e-10,6.150514098387225e-10
172,8.755621597446585e-12,5.253536289872916e-16,6.654904015501847e-10,6.742465485012603e-10
173,8.463018144183261e-12,1.872914869985075e-15,7.699370189570767e-10,7.7840191001613e-10
174,7.46427222129605e-12,1.3353043363311828e-14,9.411452934660416e-10,9.48622918730701e-10
175,6.004350370620682e-12,5.315824670326802e-14,1.238120778296685e-09,1.244178286914009e-09
176,4.3070406648520725e-12,1.4720169663998962e-13,1.8472013864173623e-09,1.8516556287788543e-09
177,2.5934025644653804e-12,3.288773774220018e-13,3.739989483392541e-09,3.7429117633344286e-09
178,1.1095075303684825e-12,6.414445721392001e-13,-8.505941474379443e-08,-8.505766379169192e-08
179,1.5874087693469383e-13,1.1411958442847477e-12,-3.4105506626928935e-09,-3.409250725971674e-09
180,1.292010650067935e-13,1.897964149604293e-12,-1.7488008056389019e-09,-1.7467736404242908e-09
181,1.4756489512241173e-12,2.9820042653060217e-12,-1.1949811516817482e-09,-1.190523498465218e-09
182,4.519622016334622e-12,4.405106956941598e-12,-9.383792083342888e-10,-9.294544793610126e-10
183,8.763162643262209e-12,5.950896216654777e-12,-8.24528571947669e-10,-8.098145130877521e-10
184,1.17340720009749e-11,6.913633936076539e-12,-8.36141019178433e-10,-8.174933132413816e-10
185,9.91239513332224e-12,6.331515705156746e-12,-1.1045826243447091e-09,-1.08833871350623e-09
186,4.2472347952914535e-12,4.294322672428503e-12,-3.3388418845372665e-09,-3.3303003270695464e-09
187,3.579398328178368e-13,2.176127333647359e-12,2.1735789803345117e-09,2.176113047500977e-09
188,5.259526791276328e-13,8.739462667750937e-13,9.105888450900857e-10,9.119887440359885e-10
189,2.8764057414105963e-12,2.900202925475938e-13,6.793334251535539e-10,6.824998511875121e-10
190,5.409217940014411e-12,7.92031383015549e-14,6.212566679734845e-10,6.267450890518005e-10
191,7.225604152632588e-12,1.7830802306778248e-14,6.291062833727514e-10,6.363497183276908e-10
192,8.119006344505826e-12,4.578661988535709e-15,6.78530426529878e-10,6.866540115363723e-10
193,8.15890687317148e-12,4.200455823675678e-15,7.691618479276767e-10,7.773249552566719e-10
194,7.497725295490299e-12,1.2782282800740229e-14,9.176028061048245e-10,9.251133136831155e-10
195,6.305264135697198e-12,4.2353678899238416e-14,1.1705499734297468e-09,1.1768975912443433e-09
196,4.758546596998724e-12,1.1584939797748755e-13,1.6675338359082234e-09,1.6724082319031997e-09
197,3.0565887950552804e-12,2.674736103363863e-13,3.038180319103019e-09,3.041504381508411e-09
198,1.4509383604366145e-12,5.463694889767565e-13,2.2384622589000063e-08,2.2386619896849478e-08
199,2.901014223723277e-13,1.0221944282575617e-12,-3.979323477451741e-09,-3.9780111816011105e-09
200,6.793169814499395e-14,1.7884457461533887e-12,-1.8063015703801143e-09,-1.804445192935816e-09
201,1.4161218735705357e-12,2.9472044844766185e-12,-1.1763913344502117e-09,-1.1720280080921645e-09
202,4.816564549410657e-12,4.523671109361048e-12,-8.98742672565401e-10,-8.894024369066293e-10
203,9.558638444165035e-12,6.21557941101464e-12,-7.798028287759228e-10,-7.640286109207431e-10
204,1.2334351893193482e-11,7.100643496185403e-12,-7.974168679631611e-10,-7.779818725737823e-10
205,9.615459110018116e-12,6.234271405969732e-12,-1.1001568954873001e-09,-1.0843071649713124e-09
206,3.8002470455088225e-12,4.107802637710543e-12,-3.926988995003183e-09,-3.919080945319964e-09
207,3.16197533137124e-13,2.1330225616418926e-12,2.052284018125502e-09,2.054733238220281e-09
208,4.1542843312189396e-13,9.366211697924398e-13,9.37927246687785e-10,9.392792962906993e-10
209,2.378243068670932e-12,3.6161088938786735e-13,7.139724991624751e-10,7.167123531205339e-10
210,4.641249580579349e-12,1.234897273850902e-13,6.515280320428291e-10,6.562927713507935e-10
211,6.444960140004933e-12,3.7832689766970435e-14,6.517682164213929e-10,6.582510092511648e-10
212,7.534105035138059e-12,1.2177131979482897e-14,6.911192714950329e-10,6.986655536621505e-10
213,7.880738860736345e-12,7.201541936838867e-15,7.679116146167968e-10,7.7579955501947e-10
214,7.546226950554657e-12,1.1979070104848237e-14,8.951502349494912e-10,9.027084409701507e-10
215,6.628074721181343e-12,3.235898146691573e-14,1.1099548156775514e-09,1.1166152493801997e-09
216,5.2497935441648475e-12,8.733634579221204e-14,1.5187052839884282e-09,1.5240424138783852e-09
217,3.5762368387409946e-12,2.105775175302007e-13,2.55165224866148e-09,2.5554390630177513e-09
218,1.851662176349824e-12,4.561598702016402e-13,9.77008780874896e-09,9.77239563079551e-09
219,4.641044730637712e-13,9.078338757808007e-13,-4.793038667196654e-09,-4.791666728847809e-09
220,2.7607313823087248e-14,1.686765778296867e-12,-1.8649205307408204e-09,-1.8632061576487003e-09
221,1.3916187451760246e-12,2.932728190289897e-12,-1.154222175279785e-09,-1.149897828344319e-09
222,5.20503081221531e-12,4.675639650614789e-12,-8.592965805187973e-10,-8.494159100559673e-10
223,1.0357157061375301e-11,6.475853181576775e-12,-7.403395887238701e-10,-7.23506578480918e-10
224,1.2625204626187414e-11,7.190493418837931e-12,-7.71159872053522e-10,-7.513441740084966e-10
225,9.077799164638108e-12,6.056276035994237e-12,-1.1228120402027076e-09,-1.1076779650020752e-09
226,3.410561761253334e-12,3.939685653431409e-12,-4.8279144141835744e-09,-4.82056416676889e-09
227,3.1148109231899695e-13,2.1280057211567903e-12,2.0146639206616753e-09,2.0171034074751512e-09
228,2.956079438851601e-13,1.01799876285929e-12,9.819416440795322e-10,9.832552507862766e-10
229,1.9149981652621333e-12,4.435228109864489e-13,7.550437794224356e-10,7.574023003986842e-10
230,3.946563425989414e-12,1.763149950699923e-13,6.842631517468176e-10,6.883860301678771e-10
231,5.735960143402274e-12,6.409710445526974e-14,6.749541732022126e-10,6.807542304500702e-10
232,6.996794663100592e-12,2.281521532780394e-14,7.033066952965237e-10,7.103263051749521e-10
233,7.62728288781544e-12,1.0700248627996198e-14,7.661945791429542e-10,7.738325622793976e-10
234,7.611350732068656e-12,1.0945382955361706e-14,8.735108523205453e-10,8.811331484355693e-10
235,6.976578198843145e-12,2.3289288087068146e-14,1.0548072902817017e-09,1.061807157768632e-09
236,5.7863400999350734e-12,6.194602043091283e-14,1.3923959651506778e-09,1.3982442512710437e-09
237,4.158538565200262e-12,1.5872499910943694e-13,2.1923592418390334e-09,2.196676505403343e-09
238,2.3158064233214372e-12,3.7168552253564366e-13,6.190276552808256e-09,6.192964044754113e-09
239,6.799821394254192e-13,7.997321467499539e-13,-6.046624511738195e-09,-6.045144797452019e-09
240,6.425717338711653e-15,1.5968077939894757e-12,-1.921640389105094e-09,-1.9200371555937657e-09
241,1.4139476726774733e-12,2.9459236339198768e-12,-1.1273961459661798e-09,-1.1230362746595824e-09
242,5.69019136191826e-12,4.860982706171728e-12,-8.202993881421279e-10,-8.097482140740379e-10
243,1.1064589667014428e-11,6.702397972758355e-12,-7.070309891680507e-10,-6.89264001528278e-10
244,1.2552692902589222e-11,7.168138159259382e-12,-7.580483846252773e-10,-7.383275535634286e-10
245,8.407088936436755e-12,5.830478161646783e-12,-1.170693825736725e-09,-1.1564562586386415e-09
246,3.1096095763704927e-12,3.805744310171915e-12,-6.039384495487637e-09,-6.032469141601095e-09
247,3.374717383491609e-13,2.1552708700084146e-12,2.054138499827735e-09,2.0566312424360927e-09
248,1.847523158805218e-13,1.1139674054838555e-12,1.0425290311534954e-09,1.0438277508748597e-09
249,1.5000989685658564e-12,5.342245937795557e-13,8.024924407896479e-10,8.045267643519933e-10
250,3.325465647939799e-12,2.3663102298936446e-13,7.19444739890222e-10,7.230068365611512e-10
